Drainage,Num,Population,River,Predation,Sample,Year,Depth,ID,n.unique.allele,n.super.type,n.gyro,Pop.prevalence,PA1,PA2,PA3,PA4,PA5,PA6,PA7,PA8,PA9,ST 1,ST2,ST 3,ST 4,ST 5,ST 6,ST 7,ST 8,ST 9,BodyArea,TotalRelArea,BlaRelArea,FuzRelArea,OraRelArea,YelRelArea,BluRelArea,GreRelArea,VioRelArea,SilRelArea,TotalSpots,BlaSpots,FuzSpots,OraSpots,YelSpots,BluSpots,GreSpots,VioSpots,SilSpots
North slope,12,Dam1,Damier,high,G090402,2009-1,1882,G090402Dam,3,3,0,0.33,Pore-DAB*202,Pore-DAB*326,Pore-DAB*277,,,,,,,9,4,5,,,,,,,31.274,0.25677564,0.02069945,0.10766508,0.089899413,0.033435783,0,0,0,0.005075906,9,2,2,3,1,0,0,0,1
North slope,13,Dam1,Damier,high,G090406,2009-1,1554,G090406Dam,3,3,0,0.33,Pore-DAB*284,Pore-DAB*342,Pore-DAB*202,,,,,,,11,2,9,,,,,,,36.191,0.35355175,0.034834052,0.09066251,0.158814233,0.042629533,0,0.00867114,0,0.017940284,14,2,4,2,2,0,2,0,1
North slope,44,Dam1,Damier,high,G090413,2009-1,3400,G090413Dam,7,5,0,0.33,Pore-DAB*322,Pore-DAB*284,Pore-DAB*250,Pore-DAB*267,Pore-DAB*251,Pore-DAB*240,Pore-DAB*202,,,11,11,11,5,2,12,9,,,29.719,0.37453734,0.030725549,0.20445673,0.078309588,0.04464331,0,0.00631243,0.01008974,0,14,2,3,2,2,0,1,2,0
North slope,28,Dam1,Damier,high,G090415,2009-1,1691,G090415Dam,3,3,4,0.33,Pore-DAB*325,Pore-DAB*334,Pore-DAB*202,,,,,,,6,5,9,,,,,,,28.695,0.25267281,0.037405805,0.10261433,0.073396991,0.035175059,0.001115373,0,0.00296526,0,12,2,3,2,2,1,0,1,0
North slope,16,Dam1,Damier,high,G090418,2009-1,1508,G090418Dam,3,2,0,0.33,Pore-DAB*347,Pore-DAB*202,Pore-DAB*249,,,,,,,2,9,9,,,,,,,31.849,0.33637357,0.039760581,0.13486295,0.134862952,0,0,0,0.02688708,0,9,2,3,5,0,0,0,1,0
North slope,43,Dam1,Damier,high,G090427,2009-1,993,G090427Dam,6,5,0,0.33,Pore-DAB*202,Pore-DAB*250,Pore-DAB*240,Pore-DAB*251,Pore-DAB*267,Pore-DAB*256,,,,9,11,12,2,5,9,,,,31.957,0.25947729,0.044413322,0.13865217,0.057397868,0.019013934,0,0,0,0,7,2,1,2,1,0,0,0,0
North slope,23,Dam2,Damier,low,G091443,2009-1,720,G091443Dam2,3,2,0,0,Pore-DAB*322,Pore-DAB*249,Pore-DAB*202,,,,,,,11,9,9,,,,,,,35.599,0.29173637,0.042299192,0.12947932,0.071999504,0.032116818,0.009376872,0,0.00646467,0,14,4,3,5,1,1,0,1,0
North slope,13,Y2,Yarra,high,G091128,2009-1,2437,G091128Y2,3,3,1,0.43,Pore-DAB*326,Pore-DAB*249,Pore-DAB*347,,,,,,,4,9,2,,,,,,,44.686,0.29002188,0.032745592,0.14569122,0.041148026,0.023589329,0.006012245,0.01617974,0.02465572,0,19,2,5,1,0,2,3,1,0
North slope,35,Y2,Yarra,high,G091129,2009-1,1853,G091129Y2,4,3,3,0.43,Pore-DAB*326,Pore-DAB*249,Pore-DAB*347,Pore-DAB*202,,,,,,4,9,2,9,,,,,,41.466,0.29369116,0.026537615,0.08758469,0.059023317,0.080316762,0,0.0116322,,0,17,2,4,2,3,0,2,3,0
North slope,36,Y2,Yarra,high,G091130,2009-1,864,G091130Y2,4,3,6,0.43,Pore-DAB*284,Pore-DAB*416,Pore-DAB*249,Pore-DAB*202,,,,,,11,2,9,9,,,,,,41.704,0.30256952,0.019428883,0.16350231,0.057401195,0.030735437,0.016942803,0,0.01455889,0,14,2,3,1,3,1,0,1,1
