,Table S4.1. Trait metrics used in correlative analysis amog populations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Supertpe frequencies,,,,,,,,,,,,,Body area corrected,,,,,,,,Mean number of spots,,,,,,,,
N,Predation,Drainage,Site,Ap,Micro-Ar,MHC-Ar,MHC-STr,ST1,ST2,ST3,ST4,ST5,ST6,ST7,ST8,ST9,ST10,ST11,ST12,Gyrodactylus prevalence,Black,Fuzzy black,Orange,Yellow,Blue,Green,Violet,Silver,Black,Fuzzy black,Orange,Yellow,Blue,Green,Violet,Silver,Total spots
45,High,North Slope,Damier-1,20,8.743,6.157,3.209,0.000,0.182,0.008,0.248,0.000,0.000,0.091,0.091,0.380,0.000,0.000,0.000,0.333,0.037,0.131,0.086,0.058,0.004,0.004,0.010,0.004,2.172,3.241,3.069,1.759,0.759,0.414,0.938,0.379,13.386
46,High,North Slope,Yarra-2,18,8.743,5.506,3.793,0.021,0.074,0.000,0.042,0.326,0.021,0.000,0.179,0.284,0.042,0.000,0.011,0.435,0.034,0.130,0.105,0.074,0.002,0.005,0.008,0.002,2.316,4.105,2.263,2.316,0.789,0.632,0.895,0.105,15.000
31,High,Caroni,Guanapo-1,14,8.037,6.053,4.124,0.000,0.000,0.000,0.079,0.297,0.000,0.000,0.000,0.337,0.277,0.010,0.000,0.452,0.026,0.120,0.043,0.040,0.001,0.006,0.003,0.005,2.036,1.929,2.821,2.071,0.536,0.964,0.571,0.429,12.179
16,High,Caroni,Aripo-2,26,8.81,7.308,4.994,0.000,0.051,0.103,0.064,0.026,0.038,0.038,0.154,0.397,0.128,0.000,0.000,0.563,0.035,0.136,0.054,0.034,0.004,0.003,0.005,0.001,2.154,2.423,2.654,1.462,0.615,0.769,0.538,0.269,11.731
30,High,Caroni,Arima-1,27,8.452,7.007,4.804,0.008,0.084,0.034,0.017,0.176,0.000,0.000,0.084,0.412,0.126,0.025,0.034,0.600,0.024,0.114,0.057,0.056,0.004,0.008,0.007,0.003,2.242,2.394,2.788,1.394,0.818,0.939,0.758,0.212,12.273
32,High,Caroni,El Cedro-2,20,8.197,6.497,4.766,0.000,0.135,0.000,0.014,0.014,0.000,0.000,0.000,0.432,0.014,0.378,0.014,0.344,0.040,0.158,0.046,0.055,0.001,0.008,0.004,0.001,2.667,2.067,2.900,2.367,0.533,1.067,0.700,0.167,13.800
29,High,Oropuche (Caroni type),Turure-2,18,8.704,7.863,4.483,0.000,0.016,0.041,0.000,0.049,0.000,0.000,0.000,0.418,0.057,0.418,0.000,0.355,0.029,0.132,0.039,0.044,0.000,0.005,0.006,0.002,2.069,2.207,2.966,1.897,0.276,0.793,0.793,0.286,12.276
29,High,Oropuche,Quare-1,28,8.989,7.582,4.566,0.000,0.009,0.098,0.045,0.036,0.063,0.009,0.009,0.482,0.098,0.152,0.000,0.414,0.052,0.163,0.076,0.038,0.003,0.005,0.005,0.001,2.588,3.471,2.618,2.000,1.000,0.765,0.618,0.176,14.647
31,Low,North Slope,Marianne-16,6,8.088,4.234,3.655,0.138,0.053,0.000,0.000,0.000,0.000,0.000,0.000,0.426,0.000,0.053,0.330,0.000,0.037,0.157,0.053,0.098,0.005,0.009,0.007,0.005,1.970,2.939,2.970,2.303,1.394,0.758,0.758,0.515,14.848
28,Low,North Slope,Damier-2,14,8.84,5.881,3.235,0.000,0.056,0.122,0.189,0.078,0.011,0.044,0.044,0.311,0.089,0.056,0.000,0.000,0.037,0.118,0.087,0.055,0.003,0.002,0.007,0.001,2.444,3.556,3.056,2.611,0.833,0.611,0.944,0.111,15.278
27,Low,North Slope,Marianne-10,23,8.125,7.204,2.91,0.000,0.431,0.017,0.000,0.000,0.000,0.000,0.017,0.000,0.000,0.086,0.448,0.000,0.063,0.166,0.095,0.048,0.002,0.001,0.008,0.000,2.059,2.706,2.588,2.000,0.471,0.294,0.971,0.059,12.147
32,Low,North Slope,Marianne-4,4,7.203,3.049,3.044,0.000,0.340,0.000,0.000,0.011,0.000,0.000,0.000,0.330,0.000,0.319,0.000,0.219,0.045,0.152,0.099,0.064,0.002,0.008,0.002,0.000,2.697,2.879,2.970,2.727,0.667,0.818,0.333,0.000,14.250
32,Low,North Slope,Paria-7,12,8.015,4.641,3.611,0.012,0.056,0.068,0.031,0.062,0.043,0.006,0.062,0.426,0.093,0.136,0.006,0.250,0.034,0.160,0.109,0.076,0.002,0.004,0.011,0.002,2.086,2.914,2.171,2.314,0.286,0.486,0.943,0.171,13.486
27,Low,North Slope,Marianne-3,4,7.33,3.247,3.264,0.000,0.321,0.000,0.000,0.036,0.000,0.000,0.000,0.321,0.000,0.321,0.000,0.333,0.021,0.143,0.110,0.055,0.001,0.004,0.002,0.001,1.667,2.667,3.333,1.667,0.333,0.500,0.333,0.333,11.000
